Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 12440.4881 seconds
Average Time Per Image: 5.1471 seconds
Overall FPS: 0.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
---------------------|---------|-----|----------|------
100.png              | 4.8123 | 0.21 | 17.28 | 0.7752
1000.png             | 4.7585 | 0.21 | 18.55 | 0.8403
10002.png            | 4.8108 | 0.21 | 24.25 | 0.9726
10013.png            | 5.1653 | 0.19 | 21.96 | 0.6707
1002.png             | 5.0843 | 0.20 | 21.67 | 0.8207
10021.png            | 4.9532 | 0.20 | 27.83 | 0.8736
10024.png            | 5.1887 | 0.19 | 21.95 | 0.8189
10026.png            | 5.2057 | 0.19 | 22.70 | 0.8538
10029.png            | 5.1596 | 0.19 | 22.02 | 0.8499
10046.png            | 5.1829 | 0.19 | 21.33 | 0.7837
10051.png            | 5.2692 | 0.19 | 20.90 | 0.7394
10056.png            | 5.2971 | 0.19 | 22.83 | 0.7621
10077.png            | 5.1754 | 0.19 | 18.22 | 0.8290
10085.png            | 5.1636 | 0.19 | 24.40 | 0.8214
10103.png            | 5.2401 | 0.19 | 23.74 | 0.5970
10105.png            | 5.2429 | 0.19 | 22.97 | 0.9309
10108.png            | 5.3077 | 0.19 | 14.39 | 0.6146
10119.png            | 5.2891 | 0.19 | 16.19 | 0.7251
10129.png            | 5.2173 | 0.19 | 25.16 | 0.6139
10132.png            | 5.3942 | 0.19 | 16.15 | 0.8261
10133.png            | 5.4374 | 0.18 | 19.79 | 0.8342
10137.png            | 5.3021 | 0.19 | 18.49 | 0.7449
10138.png            | 5.4191 | 0.18 | 19.91 | 0.6025
10147.png            | 4.7277 | 0.21 | 18.96 | 0.8349
10154.png            | 4.7148 | 0.21 | 22.31 | 0.7695
10160.png            | 4.9061 | 0.20 | 19.90 | 0.8107
1018.png             | 4.7042 | 0.21 | 26.01 | 0.8864
10206.png            | 4.6273 | 0.22 | 28.66 | 0.9124
1021.png             | 4.5937 | 0.22 | 25.21 | 0.8109
10226.png            | 4.6817 | 0.21 | 25.41 | 0.8771
10227.png            | 4.6841 | 0.21 | 26.07 | 0.8899
10234.png            | 4.6513 | 0.21 | 22.59 | 0.6315
10245.png            | 5.4614 | 0.18 | 12.49 | 0.3230
