Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 12440.4881 seconds
Average Time Per Image: 5.1471 seconds
Overall FPS: 0.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
10264.png            | 5.2720 | 0.19 | 22.78 | 0.7556
10268.png            | 5.2727 | 0.19 | 16.04 | 0.6806
10273.png            | 5.2548 | 0.19 | 27.87 | 0.9842
10306.png            | 5.3456 | 0.19 | 16.61 | 0.5580
10320.png            | 5.2223 | 0.19 | 21.64 | 0.6843
10334.png            | 5.1694 | 0.19 | 21.13 | 0.8178
10342.png            | 5.2544 | 0.19 | 16.10 | 0.6704
10357.png            | 5.3410 | 0.19 | 30.60 | 0.9850
10366.png            | 5.3142 | 0.19 | 20.95 | 0.6084
10370.png            | 5.1971 | 0.19 | 20.44 | 0.6876
10377.png            | 5.3591 | 0.19 | 26.07 | 0.8479
10382.png            | 5.4650 | 0.18 | 24.91 | 0.8671
10383.png            | 5.5079 | 0.18 | 22.60 | 0.8888
10410.png            | 5.3385 | 0.19 | 16.93 | 0.6141
10413.png            | 5.3678 | 0.19 | 22.70 | 0.7837
10419.png            | 5.4548 | 0.18 | 21.95 | 0.9715
10426.png            | 5.3830 | 0.19 | 25.15 | 0.8327
1045.png             | 5.3664 | 0.19 | 24.18 | 0.7504
10456.png            | 5.3755 | 0.19 | 17.97 | 0.9440
10462.png            | 5.4025 | 0.19 | 15.45 | 0.9101
10465.png            | 5.4530 | 0.18 | 15.79 | 0.9033
10468.png            | 5.5997 | 0.18 | 22.34 | 0.8744
10475.png            | 5.4780 | 0.18 | 21.01 | 0.8321
10479.png            | 5.4485 | 0.18 | 18.49 | 0.6869
10487.png            | 5.3827 | 0.19 | 22.93 | 0.7545
10505.png            | 5.4234 | 0.18 | 24.47 | 0.8554
10516.png            | 5.4945 | 0.18 | 24.24 | 0.8275
10528.png            | 5.5453 | 0.18 | 21.17 | 0.8458
10529.png            | 5.2850 | 0.19 | 24.51 | 0.9240
1054.png             | 5.4295 | 0.18 | 19.89 | 0.7154
10546.png            | 5.3207 | 0.19 | 20.72 | 0.7971
10559.png            | 5.4876 | 0.18 | 21.97 | 0.7090
10560.png            | 5.5153 | 0.18 | 14.59 | 0.4798
10564.png            | 5.3721 | 0.19 | 17.98 | 0.7655
10565.png            | 5.3835 | 0.19 | 18.73 | 0.7483
10568.png            | 5.3068 | 0.19 | 26.08 | 0.8314
1057.png             | 5.4114 | 0.18 | 15.90 | 0.9604
10570.png            | 5.5410 | 0.18 | 16.95 | 0.7033
10582.png            | 5.4071 | 0.18 | 19.22 | 0.5462
10595.png            | 5.5212 | 0.18 | 20.29 | 0.6709
10598.png            | 5.4826 | 0.18 | 21.40 | 0.6420
10602.png            | 5.3517 | 0.19 | 23.84 | 0.8223
10604.png            | 5.4880 | 0.18 | 22.00 | 0.6467
10605.png            | 5.4739 | 0.18 | 26.14 | 0.5488
10613.png            | 5.4486 | 0.18 | 14.60 | 0.5961
10616.png            | 5.4469 | 0.18 | 20.58 | 0.8673
10619.png            | 5.4331 | 0.18 | 22.07 | 0.8149
10622.png            | 5.6459 | 0.18 | 19.01 | 0.8481
10631.png            | 5.5454 | 0.18 | 23.60 | 0.7061
10633.png            | 5.4909 | 0.18 | 24.86 | 0.6735
10654.png            | 5.4481 | 0.18 | 24.71 | 0.8178
10672.png            | 5.2639 | 0.19 | 27.05 | 0.7154
10677.png            | 5.3843 | 0.19 | 17.88 | 0.7851
10697.png            | 5.4776 | 0.18 | 17.27 | 0.6253
10724.png            | 5.4378 | 0.18 | 15.63 | 0.7187
10730.png            | 5.4085 | 0.18 | 18.97 | 0.8163
10736.png            | 5.4327 | 0.18 | 20.09 | 0.7407
1074.png             | 5.4720 | 0.18 | 18.18 | 0.8137
10742.png            | 5.3887 | 0.19 | 21.74 | 0.7721
10744.png            | 5.3662 | 0.19 | 20.26 | 0.5417
10758.png            | 5.3578 | 0.19 | 18.61 | 0.8795
10772.png            | 5.4640 | 0.18 | 18.87 | 0.5962
10774.png            | 5.5054 | 0.18 | 18.73 | 0.7968
10799.png            | 5.6703 | 0.18 | 20.67 | 0.7451
10824.png            | 5.4229 | 0.18 | 25.00 | 0.8251
10828.png            | 5.4791 | 0.18 | 17.29 | 0.6963
10835.png            | 5.4559 | 0.18 | 19.67 | 0.9536
10845.png            | 5.3627 | 0.19 | 24.47 | 0.9797
10853.png            | 5.6113 | 0.18 | 23.39 | 0.9330
10854.png            | 5.3978 | 0.19 | 23.49 | 0.9215
10871.png            | 5.4032 | 0.19 | 27.09 | 0.9017
10873.png            | 5.5052 | 0.18 | 21.16 | 0.7661
10876.png            | 5.3975 | 0.19 | 20.85 | 0.7974
10882.png            | 5.4622 | 0.18 | 20.17 | 0.9177
10894.png            | 5.3478 | 0.19 | 24.11 | 0.7801
10913.png            | 5.5122 | 0.18 | 21.72 | 0.6814
10919.png            | 5.5322 | 0.18 | 26.46 | 0.7292
10921.png            | 5.4906 | 0.18 | 22.49 | 0.7916
10924.png            | 5.6221 | 0.18 | 19.41 | 0.6409
10945.png            | 5.4530 | 0.18 | 24.28 | 0.9795
10946.png            | 5.6124 | 0.18 | 28.51 | 0.9787
10952.png            | 5.3941 | 0.19 | 18.07 | 0.9491
11002.png            | 5.4598 | 0.18 | 21.43 | 0.8269
11004.png            | 5.7266 | 0.17 | 22.19 | 0.7746
11007.png            | 5.7041 | 0.18 | 21.46 | 0.6766
11013.png            | 5.5485 | 0.18 | 24.72 | 0.7506
11017.png            | 5.5161 | 0.18 | 24.78 | 0.7686
11035.png            | 5.3524 | 0.19 | 24.85 | 0.5831
11037.png            | 5.5904 | 0.18 | 20.21 | 0.6448
11041.png            | 6.0356 | 0.17 | 22.25 | 0.5439
11045.png            | 5.1038 | 0.20 | 15.71 | 0.8602
11054.png            | 5.3881 | 0.19 | 17.46 | 0.7687
11068.png            | 5.3037 | 0.19 | 17.92 | 0.8570
11080.png            | 5.4102 | 0.18 | 16.34 | 0.6718
11081.png            | 5.3331 | 0.19 | 23.56 | 0.8054
11088.png            | 5.2984 | 0.19 | 18.34 | 0.6492
11089.png            | 5.2099 | 0.19 | 18.06 | 0.6203
11105.png            | 5.3113 | 0.19 | 15.59 | 0.9572
11110.png            | 5.4526 | 0.18 | 15.74 | 0.8232
11115.png            | 5.1866 | 0.19 | 25.27 | 0.6908
11123.png            | 5.5004 | 0.18 | 22.01 | 0.7447
11126.png            | 5.5568 | 0.18 | 19.07 | 0.7598
1113.png             | 5.2056 | 0.19 | 19.16 | 0.8360
11134.png            | 5.2278 | 0.19 | 17.66 | 0.6935
11135.png            | 6.1283 | 0.16 | 18.79 | 0.6586
11136.png            | 5.5785 | 0.18 | 17.28 | 0.6461
11142.png            | 5.5477 | 0.18 | 18.39 | 0.6186
11145.png            | 4.8886 | 0.20 | 18.88 | 0.8336
11153.png            | 4.8123 | 0.21 | 28.61 | 0.8868
1119.png             | 4.6873 | 0.21 | 20.62 | 0.6758
11206.png            | 4.6866 | 0.21 | 23.94 | 0.8004
11211.png            | 4.6879 | 0.21 | 19.75 | 0.7479
1122.png             | 5.0605 | 0.20 | 20.28 | 0.8111
11231.png            | 5.3568 | 0.19 | 19.12 | 0.7469
11247.png            | 4.7065 | 0.21 | 23.84 | 0.8651
11249.png            | 4.6385 | 0.22 | 24.43 | 0.8793
11259.png            | 5.6325 | 0.18 | 26.55 | 0.8800
11260.png            | 5.4227 | 0.18 | 25.96 | 0.8511
11267.png            | 5.2336 | 0.19 | 23.32 | 0.8894
11284.png            | 5.3862 | 0.19 | 20.15 | 0.8252
11285.png            | 5.3518 | 0.19 | 19.44 | 0.8139
11287.png            | 5.3569 | 0.19 | 18.61 | 0.6239
11304.png            | 5.3525 | 0.19 | 15.17 | 0.5490
11312.png            | 5.4536 | 0.18 | 23.45 | 0.6620
11329.png            | 5.3524 | 0.19 | 27.80 | 0.7156
11347.png            | 5.5261 | 0.18 | 17.45 | 0.8628
11356.png            | 5.4347 | 0.18 | 20.32 | 0.8513
11359.png            | 5.5154 | 0.18 | 18.10 | 0.8805
1136.png             | 5.3748 | 0.19 | 19.83 | 0.5065
11365.png            | 5.3955 | 0.19 | 18.79 | 0.8224
11378.png            | 5.2999 | 0.19 | 21.79 | 0.8104
11394.png            | 5.4941 | 0.18 | 17.13 | 0.7311
11405.png            | 5.4646 | 0.18 | 18.17 | 0.8805
1142.png             | 6.0833 | 0.16 | 23.47 | 0.8203
11435.png            | 5.6244 | 0.18 | 21.76 | 0.7818
11443.png            | 5.4334 | 0.18 | 27.48 | 0.9505
11444.png            | 5.6638 | 0.18 | 26.82 | 0.9900
11447.png            | 5.2127 | 0.19 | 29.04 | 0.8709
11449.png            | 5.2647 | 0.19 | 26.14 | 0.9435
11450.png            | 5.2971 | 0.19 | 32.60 | 0.9930
11456.png            | 5.3888 | 0.19 | 26.24 | 0.8533
11460.png            | 5.3210 | 0.19 | 25.96 | 0.8651
11462.png            | 5.9488 | 0.17 | 19.90 | 0.8074
11469.png            | 5.3438 | 0.19 | 28.24 | 0.8409
11475.png            | 5.5903 | 0.18 | 25.30 | 0.8784
11479.png            | 5.3665 | 0.19 | 22.58 | 0.7080
11484.png            | 5.4430 | 0.18 | 18.78 | 0.5575
11486.png            | 5.5732 | 0.18 | 22.34 | 0.6197
11504.png            | 5.7666 | 0.17 | 16.63 | 0.5943
11514.png            | 5.4459 | 0.18 | 24.32 | 0.5462
11522.png            | 5.2576 | 0.19 | 18.17 | 0.8636
11525.png            | 5.5327 | 0.18 | 24.12 | 0.9106
11527.png            | 5.4814 | 0.18 | 17.07 | 0.8633
11529.png            | 5.7657 | 0.17 | 22.42 | 0.8858
11536.png            | 5.0007 | 0.20 | 15.94 | 0.7846
11541.png            | 4.8784 | 0.20 | 13.92 | 0.7775
11544.png            | 5.5377 | 0.18 | 15.18 | 0.8254
11547.png            | 5.2153 | 0.19 | 22.36 | 0.7460
11576.png            | 4.8613 | 0.21 | 21.73 | 0.8562
116.png              | 4.7939 | 0.21 | 26.39 | 0.8048
11618.png            | 5.1699 | 0.19 | 17.00 | 0.7769
11620.png            | 5.1369 | 0.19 | 17.40 | 0.6846
11625.png            | 4.8041 | 0.21 | 20.28 | 0.9515
11630.png            | 4.7894 | 0.21 | 22.67 | 0.7455
11640.png            | 4.9196 | 0.20 | 20.48 | 0.9439
11646.png            | 4.7278 | 0.21 | 19.21 | 0.8927
11649.png            | 4.9291 | 0.20 | 17.44 | 0.4876
11670.png            | 4.9376 | 0.20 | 27.60 | 0.9314
11683.png            | 5.5285 | 0.18 | 31.03 | 0.7711
11703.png            | 6.1371 | 0.16 | 22.45 | 0.5035
11709.png            | 5.6626 | 0.18 | 20.86 | 0.6169
1172.png             | 6.0244 | 0.17 | 23.37 | 0.7783
11724.png            | 5.5014 | 0.18 | 22.16 | 0.7181
1173.png             | 5.3790 | 0.19 | 22.96 | 0.8471
11732.png            | 5.7925 | 0.17 | 23.15 | 0.8601
11758.png            | 5.5949 | 0.18 | 23.38 | 0.7850
1177.png             | 5.7395 | 0.17 | 16.43 | 0.6751
11772.png            | 5.3586 | 0.19 | 23.13 | 0.8460
11795.png            | 5.5634 | 0.18 | 23.95 | 0.7364
1180.png             | 5.6144 | 0.18 | 18.89 | 0.8065
11816.png            | 5.2787 | 0.19 | 15.16 | 0.7616
11817.png            | 6.0311 | 0.17 | 21.92 | 0.7175
1182.png             | 5.6107 | 0.18 | 19.30 | 0.7521
11820.png            | 5.7385 | 0.17 | 14.22 | 0.5665
11827.png            | 5.7333 | 0.17 | 27.86 | 0.9835
11865.png            | 5.5131 | 0.18 | 18.73 | 0.8056
11866.png            | 5.6345 | 0.18 | 18.55 | 0.7772
11869.png            | 5.5412 | 0.18 | 16.47 | 0.6079
11881.png            | 5.5996 | 0.18 | 24.16 | 0.7126
11884.png            | 5.4517 | 0.18 | 19.82 | 0.5192
11887.png            | 5.4275 | 0.18 | 25.26 | 0.5652
11914.png            | 5.6024 | 0.18 | 25.66 | 0.8268
11915.png            | 5.4763 | 0.18 | 24.54 | 0.8782
1192.png             | 5.4240 | 0.18 | 28.76 | 0.5017
11920.png            | 5.5837 | 0.18 | 22.90 | 0.6699
11930.png            | 5.4504 | 0.18 | 19.30 | 0.7492
11970.png            | 5.5230 | 0.18 | 21.19 | 0.6934
11981.png            | 5.5156 | 0.18 | 26.09 | 0.6754
11986.png            | 5.4946 | 0.18 | 23.35 | 0.8993
11988.png            | 5.6613 | 0.18 | 25.08 | 0.9180
11996.png            | 5.4885 | 0.18 | 24.51 | 0.8925
11999.png            | 5.5675 | 0.18 | 23.42 | 0.7088
1200.png             | 5.7314 | 0.17 | 24.23 | 0.8249
12010.png            | 5.4169 | 0.18 | 17.75 | 0.7857
12012.png            | 5.7001 | 0.18 | 21.27 | 0.9733
12013.png            | 5.6723 | 0.18 | 20.60 | 0.9659
12024.png            | 5.7051 | 0.18 | 21.52 | 0.9604
1204.png             | 5.6165 | 0.18 | 26.70 | 0.8893
12054.png            | 5.5960 | 0.18 | 15.63 | 0.7792
12063.png            | 5.4322 | 0.18 | 19.09 | 0.7030
1207.png             | 5.4396 | 0.18 | 27.64 | 0.8391
12072.png            | 5.4791 | 0.18 | 23.00 | 0.7364
12077.png            | 5.6416 | 0.18 | 20.25 | 0.7603
12083.png            | 5.6357 | 0.18 | 23.34 | 0.7940
12088.png            | 5.6005 | 0.18 | 20.64 | 0.8902
1209.png             | 5.6043 | 0.18 | 18.79 | 0.7987
12096.png            | 5.5207 | 0.18 | 24.73 | 0.8746
12109.png            | 5.5231 | 0.18 | 20.86 | 0.7918
12129.png            | 5.6029 | 0.18 | 27.63 | 0.7352
12141.png            | 5.5120 | 0.18 | 15.37 | 0.6565
12155.png            | 5.5987 | 0.18 | 20.81 | 0.9625
12168.png            | 5.7289 | 0.17 | 14.77 | 0.8095
12171.png            | 5.5448 | 0.18 | 15.14 | 0.6882
12175.png            | 5.6002 | 0.18 | 17.35 | 0.6307
12188.png            | 5.4787 | 0.18 | 16.74 | 0.8428
12198.png            | 5.6750 | 0.18 | 19.94 | 0.8845
12212.png            | 5.6773 | 0.18 | 25.41 | 0.7819
12218.png            | 5.4722 | 0.18 | 18.94 | 0.5979
1223.png             | 5.4417 | 0.18 | 18.09 | 0.6815
1225.png             | 5.6310 | 0.18 | 17.59 | 0.5893
12259.png            | 5.6113 | 0.18 | 19.25 | 0.6781
12277.png            | 5.5940 | 0.18 | 20.54 | 0.7367
12283.png            | 5.6027 | 0.18 | 18.96 | 0.6157
12287.png            | 5.5269 | 0.18 | 22.90 | 0.7173
12311.png            | 5.6049 | 0.18 | 25.22 | 0.7319
12312.png            | 5.5274 | 0.18 | 22.98 | 0.7561
12314.png            | 5.5957 | 0.18 | 23.91 | 0.7654
12322.png            | 5.6048 | 0.18 | 23.78 | 0.5785
12327.png            | 5.5252 | 0.18 | 25.48 | 0.6474
12354.png            | 5.5232 | 0.18 | 16.82 | 0.5000
12406.png            | 5.6948 | 0.18 | 24.25 | 0.6682
12411.png            | 5.4121 | 0.18 | 17.12 | 0.6502
12422.png            | 5.7922 | 0.17 | 19.53 | 0.7187
12424.png            | 5.5964 | 0.18 | 24.22 | 0.7961
12436.png            | 5.6251 | 0.18 | 23.33 | 0.5999
12451.png            | 5.6268 | 0.18 | 29.89 | 0.8991
12454.png            | 5.5129 | 0.18 | 20.41 | 0.6955
12457.png            | 5.5216 | 0.18 | 22.44 | 0.7608
12482.png            | 5.7596 | 0.17 | 16.21 | 0.9417
12485.png            | 5.5661 | 0.18 | 16.21 | 0.8434
12486.png            | 5.5839 | 0.18 | 16.07 | 0.8012
12494.png            | 5.7087 | 0.18 | 22.83 | 0.8818
12504.png            | 5.5881 | 0.18 | 23.90 | 0.7995
12506.png            | 5.4774 | 0.18 | 15.16 | 0.5781
12516.png            | 5.5851 | 0.18 | 17.05 | 0.7984
12521.png            | 5.4787 | 0.18 | 18.30 | 0.8694
12523.png            | 5.4066 | 0.18 | 20.04 | 0.9340
12536.png            | 5.4347 | 0.18 | 21.99 | 0.9055
12537.png            | 5.5026 | 0.18 | 22.60 | 0.9011
12547.png            | 5.5613 | 0.18 | 22.86 | 0.9170
12571.png            | 5.5182 | 0.18 | 28.44 | 0.9332
12574.png            | 5.4772 | 0.18 | 18.09 | 0.5064
12590.png            | 5.5294 | 0.18 | 15.73 | 0.7262
12594.png            | 5.7108 | 0.18 | 24.01 | 0.9136
12627.png            | 5.5485 | 0.18 | 22.07 | 0.6189
12635.png            | 5.6015 | 0.18 | 23.37 | 0.9061
12651.png            | 5.5638 | 0.18 | 22.39 | 0.8315
12666.png            | 5.6669 | 0.18 | 20.22 | 0.8164
12679.png            | 5.5189 | 0.18 | 18.57 | 0.7483
12687.png            | 5.6279 | 0.18 | 14.00 | 0.7894
12689.png            | 5.6111 | 0.18 | 15.02 | 0.9129
12691.png            | 5.5483 | 0.18 | 21.58 | 0.8863
12719.png            | 5.6471 | 0.18 | 22.59 | 0.6525
12720.png            | 5.5522 | 0.18 | 23.13 | 0.6512
12724.png            | 5.4938 | 0.18 | 14.48 | 0.7988
12735.png            | 5.6584 | 0.18 | 19.31 | 0.7467
12741.png            | 5.5376 | 0.18 | 17.54 | 0.5550
12748.png            | 5.7199 | 0.17 | 23.48 | 0.6516
12762.png            | 5.5997 | 0.18 | 21.37 | 0.9641
12770.png            | 5.5171 | 0.18 | 18.20 | 0.9578
12780.png            | 5.6510 | 0.18 | 23.39 | 0.7981
12784.png            | 5.5435 | 0.18 | 15.36 | 0.7286
12788.png            | 5.4367 | 0.18 | 19.09 | 0.6798
12789.png            | 5.3792 | 0.19 | 23.81 | 0.7357
12815.png            | 5.5732 | 0.18 | 25.26 | 0.9288
12816.png            | 5.5256 | 0.18 | 28.01 | 0.8975
1282.png             | 5.4638 | 0.18 | 18.50 | 0.7792
12825.png            | 5.6372 | 0.18 | 21.70 | 0.8281
12826.png            | 5.4293 | 0.18 | 26.90 | 0.9517
12839.png            | 5.4463 | 0.18 | 24.89 | 0.8310
12842.png            | 5.4808 | 0.18 | 28.46 | 0.7627
12843.png            | 5.5215 | 0.18 | 24.50 | 0.7605
12853.png            | 5.4122 | 0.18 | 23.56 | 0.9133
12865.png            | 5.3166 | 0.19 | 17.73 | 0.8384
1287.png             | 5.4554 | 0.18 | 22.68 | 0.8064
12879.png            | 5.3436 | 0.19 | 16.23 | 0.4944
12886.png            | 5.5493 | 0.18 | 21.93 | 0.7590
12887.png            | 5.5818 | 0.18 | 20.85 | 0.7756
12892.png            | 5.6276 | 0.18 | 18.12 | 0.7667
12893.png            | 5.5932 | 0.18 | 17.20 | 0.7383
12898.png            | 5.4579 | 0.18 | 19.06 | 0.6619
12910.png            | 5.4923 | 0.18 | 17.22 | 0.7424
1292.png             | 5.5797 | 0.18 | 20.42 | 0.7460
12925.png            | 5.4532 | 0.18 | 21.30 | 0.7517
12926.png            | 5.4754 | 0.18 | 23.97 | 0.8217
12932.png            | 5.4626 | 0.18 | 17.53 | 0.7540
1294.png             | 5.3873 | 0.19 | 25.18 | 0.8413
12946.png            | 5.5164 | 0.18 | 14.49 | 0.7172
12951.png            | 5.5820 | 0.18 | 17.81 | 0.6878
12971.png            | 5.3937 | 0.19 | 28.56 | 0.9788
12973.png            | 5.4847 | 0.18 | 26.22 | 0.8037
12981.png            | 5.6411 | 0.18 | 21.78 | 0.6140
12982.png            | 5.4684 | 0.18 | 21.79 | 0.9222
12998.png            | 5.3342 | 0.19 | 24.97 | 0.9825
13010.png            | 5.4419 | 0.18 | 25.83 | 0.9043
13015.png            | 5.4475 | 0.18 | 17.32 | 0.7809
13018.png            | 5.5532 | 0.18 | 19.27 | 0.7822
13023.png            | 5.3800 | 0.19 | 15.64 | 0.6780
13044.png            | 5.6575 | 0.18 | 19.71 | 0.7607
13048.png            | 5.3988 | 0.19 | 19.36 | 0.6180
1306.png             | 5.4521 | 0.18 | 21.68 | 0.8398
13067.png            | 5.5135 | 0.18 | 19.74 | 0.6755
13077.png            | 5.4121 | 0.18 | 23.47 | 0.7420
13086.png            | 5.4584 | 0.18 | 13.91 | 0.5710
13097.png            | 5.6933 | 0.18 | 23.74 | 0.7851
13098.png            | 5.6004 | 0.18 | 18.84 | 0.6725
131.png              | 5.3657 | 0.19 | 28.52 | 0.8671
1311.png             | 5.4944 | 0.18 | 19.59 | 0.8440
13133.png            | 5.4696 | 0.18 | 28.77 | 0.7368
13136.png            | 5.4032 | 0.19 | 14.14 | 0.7116
13142.png            | 5.4785 | 0.18 | 16.83 | 0.6560
13144.png            | 5.5135 | 0.18 | 25.15 | 0.8066
13148.png            | 5.4991 | 0.18 | 22.40 | 0.7092
13170.png            | 5.5674 | 0.18 | 20.96 | 0.8541
13174.png            | 5.4585 | 0.18 | 20.31 | 0.8593
13176.png            | 5.5489 | 0.18 | 20.86 | 0.8003
1319.png             | 5.5265 | 0.18 | 21.37 | 0.7845
13211.png            | 5.5055 | 0.18 | 20.84 | 0.5746
13230.png            | 5.4587 | 0.18 | 15.75 | 0.7693
13239.png            | 5.3470 | 0.19 | 23.37 | 0.7226
1324.png             | 5.4672 | 0.18 | 21.91 | 0.8056
13252.png            | 5.5115 | 0.18 | 24.10 | 0.9755
13259.png            | 5.4388 | 0.18 | 25.35 | 0.9598
13269.png            | 5.5553 | 0.18 | 27.37 | 0.9616
13277.png            | 5.4928 | 0.18 | 14.92 | 0.7908
13292.png            | 5.3990 | 0.19 | 14.80 | 0.7335
13293.png            | 5.4858 | 0.18 | 15.65 | 0.6494
13303.png            | 5.3858 | 0.19 | 20.19 | 0.6809
1331.png             | 5.5016 | 0.18 | 20.82 | 0.8040
13322.png            | 5.5046 | 0.18 | 18.23 | 0.8700
13324.png            | 5.4269 | 0.18 | 20.74 | 0.8370
13329.png            | 5.5282 | 0.18 | 20.12 | 0.7685
13340.png            | 5.5416 | 0.18 | 23.91 | 0.8159
13353.png            | 5.4188 | 0.18 | 20.04 | 0.9387
13357.png            | 5.6307 | 0.18 | 20.52 | 0.7726
13359.png            | 5.4627 | 0.18 | 19.34 | 0.6591
13389.png            | 5.5788 | 0.18 | 24.92 | 0.6477
1339.png             | 5.5672 | 0.18 | 22.28 | 0.8025
13403.png            | 5.4660 | 0.18 | 19.99 | 0.8939
1342.png             | 5.5234 | 0.18 | 20.77 | 0.7395
13432.png            | 5.4103 | 0.18 | 20.17 | 0.8895
13439.png            | 5.5814 | 0.18 | 21.46 | 0.4409
13445.png            | 5.3293 | 0.19 | 25.98 | 0.9339
13451.png            | 5.4507 | 0.18 | 17.66 | 0.7725
13458.png            | 5.4604 | 0.18 | 23.45 | 0.7989
13471.png            | 5.5274 | 0.18 | 27.73 | 0.8368
13491.png            | 5.5122 | 0.18 | 20.39 | 0.7555
13510.png            | 5.3182 | 0.19 | 22.40 | 0.9739
13539.png            | 5.4995 | 0.18 | 15.97 | 0.9104
13550.png            | 5.4441 | 0.18 | 17.96 | 0.8788
13551.png            | 5.4760 | 0.18 | 17.93 | 0.7756
13552.png            | 5.3828 | 0.19 | 17.21 | 0.8093
13566.png            | 5.3098 | 0.19 | 22.40 | 0.7561
13568.png            | 5.4815 | 0.18 | 21.77 | 0.9132
13569.png            | 5.5263 | 0.18 | 18.72 | 0.7457
13573.png            | 5.4068 | 0.18 | 18.81 | 0.6699
1360.png             | 5.3298 | 0.19 | 15.29 | 0.8450
13604.png            | 5.4451 | 0.18 | 15.05 | 0.3343
13613.png            | 5.3662 | 0.19 | 16.48 | 0.9438
13626.png            | 5.5111 | 0.18 | 18.48 | 0.6953
13633.png            | 5.5224 | 0.18 | 16.31 | 0.7877
13652.png            | 5.5064 | 0.18 | 22.15 | 0.8527
13654.png            | 5.3381 | 0.19 | 19.45 | 0.8472
13659.png            | 5.3693 | 0.19 | 22.33 | 0.8950
13662.png            | 5.4297 | 0.18 | 25.90 | 0.8973
13664.png            | 5.3510 | 0.19 | 20.94 | 0.9047
13668.png            | 5.4960 | 0.18 | 20.20 | 0.8283
13671.png            | 5.4663 | 0.18 | 21.20 | 0.8740
13705.png            | 5.6039 | 0.18 | 18.85 | 0.6487
13764.png            | 5.4869 | 0.18 | 19.24 | 0.7952
13767.png            | 5.4914 | 0.18 | 25.36 | 0.8054
13771.png            | 5.4107 | 0.18 | 22.45 | 0.7297
13775.png            | 5.4849 | 0.18 | 28.88 | 0.8659
13777.png            | 5.5157 | 0.18 | 24.37 | 0.8031
13789.png            | 5.3931 | 0.19 | 14.26 | 0.7218
1381.png             | 5.4592 | 0.18 | 19.34 | 0.8355
13812.png            | 5.3324 | 0.19 | 22.27 | 0.6665
13823.png            | 5.4766 | 0.18 | 21.69 | 0.6801
13835.png            | 5.3024 | 0.19 | 9.93 | 0.4755
1384.png             | 5.3682 | 0.19 | 17.11 | 0.8095
13859.png            | 5.4142 | 0.18 | 16.06 | 0.6485
13863.png            | 5.4180 | 0.18 | 22.75 | 0.8248
13865.png            | 5.2973 | 0.19 | 26.91 | 0.8578
13867.png            | 5.3456 | 0.19 | 27.89 | 0.8966
13876.png            | 5.4471 | 0.18 | 27.60 | 0.8685
13885.png            | 5.4947 | 0.18 | 16.95 | 0.6641
