Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
10799.png            | 0.4462 | 2.24 | 20.67 | 0.7451
10824.png            | 0.4491 | 2.23 | 25.00 | 0.8251
10828.png            | 0.4510 | 2.22 | 17.29 | 0.6963
10835.png            | 0.4443 | 2.25 | 19.67 | 0.9536
10845.png            | 0.4445 | 2.25 | 24.47 | 0.9797
10853.png            | 0.4472 | 2.24 | 23.39 | 0.9330
10854.png            | 0.4519 | 2.21 | 23.49 | 0.9215
10871.png            | 0.4478 | 2.23 | 27.09 | 0.9017
10873.png            | 0.4438 | 2.25 | 21.16 | 0.7661
10876.png            | 0.4483 | 2.23 | 20.85 | 0.7974
10882.png            | 0.4537 | 2.20 | 20.17 | 0.9177
10894.png            | 0.4440 | 2.25 | 24.11 | 0.7801
10913.png            | 0.4466 | 2.24 | 21.72 | 0.6814
10919.png            | 0.4468 | 2.24 | 26.46 | 0.7292
10921.png            | 0.4448 | 2.25 | 22.49 | 0.7916
10924.png            | 0.4533 | 2.21 | 19.41 | 0.6409
10945.png            | 0.4452 | 2.25 | 24.28 | 0.9795
10946.png            | 0.4430 | 2.26 | 28.51 | 0.9787
10952.png            | 0.4409 | 2.27 | 18.07 | 0.9491
11002.png            | 0.4445 | 2.25 | 21.43 | 0.8269
11004.png            | 0.4542 | 2.20 | 22.19 | 0.7746
11007.png            | 0.4427 | 2.26 | 21.46 | 0.6766
11013.png            | 0.4456 | 2.24 | 24.72 | 0.7506
11017.png            | 0.4480 | 2.23 | 24.78 | 0.7686
11035.png            | 0.4491 | 2.23 | 24.85 | 0.5831
11037.png            | 0.4492 | 2.23 | 20.21 | 0.6448
11041.png            | 0.4474 | 2.24 | 22.25 | 0.5439
11045.png            | 0.4442 | 2.25 | 15.71 | 0.8602
11054.png            | 0.4495 | 2.22 | 17.46 | 0.7687
11068.png            | 0.4438 | 2.25 | 17.92 | 0.8570
11080.png            | 0.4486 | 2.23 | 16.34 | 0.6718
11081.png            | 0.4450 | 2.25 | 23.56 | 0.8054
11088.png            | 0.4497 | 2.22 | 18.34 | 0.6492
11089.png            | 0.4473 | 2.24 | 18.06 | 0.6203
11105.png            | 0.4420 | 2.26 | 15.59 | 0.9572
11110.png            | 0.4457 | 2.24 | 15.74 | 0.8232
11115.png            | 0.4471 | 2.24 | 25.27 | 0.6908
11123.png            | 0.4481 | 2.23 | 22.01 | 0.7447
11126.png            | 0.4451 | 2.25 | 19.07 | 0.7598
1113.png             | 0.4460 | 2.24 | 19.16 | 0.8360
11134.png            | 0.4471 | 2.24 | 17.66 | 0.6935
11135.png            | 0.4474 | 2.24 | 18.79 | 0.6586
11136.png            | 0.4513 | 2.22 | 17.28 | 0.6461
11142.png            | 0.4467 | 2.24 | 18.39 | 0.6186
11145.png            | 0.4432 | 2.26 | 18.88 | 0.8336
11153.png            | 0.4462 | 2.24 | 28.61 | 0.8868
1119.png             | 0.4456 | 2.24 | 20.62 | 0.6758
11206.png            | 0.4472 | 2.24 | 23.94 | 0.8004
11211.png            | 0.4450 | 2.25 | 19.75 | 0.7479
1122.png             | 0.4480 | 2.23 | 20.28 | 0.8111
11231.png            | 0.4525 | 2.21 | 19.12 | 0.7469
11247.png            | 0.4471 | 2.24 | 23.84 | 0.8651
11249.png            | 0.4502 | 2.22 | 24.43 | 0.8793
11259.png            | 0.4438 | 2.25 | 26.55 | 0.8800
