Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
13573.png            | 0.4799 | 2.08 | 18.81 | 0.6699
1360.png             | 0.4890 | 2.04 | 15.29 | 0.8450
13604.png            | 0.4703 | 2.13 | 15.05 | 0.3343
13613.png            | 0.4908 | 2.04 | 16.48 | 0.9438
13626.png            | 0.4813 | 2.08 | 18.48 | 0.6953
13633.png            | 0.4833 | 2.07 | 16.31 | 0.7877
13652.png            | 0.4854 | 2.06 | 22.15 | 0.8527
13654.png            | 0.4790 | 2.09 | 19.45 | 0.8472
13659.png            | 0.4649 | 2.15 | 22.33 | 0.8950
13662.png            | 0.4941 | 2.02 | 25.90 | 0.8973
13664.png            | 0.4635 | 2.16 | 20.94 | 0.9047
13668.png            | 0.4751 | 2.10 | 20.20 | 0.8283
13671.png            | 0.4780 | 2.09 | 21.20 | 0.8740
13705.png            | 0.4732 | 2.11 | 18.85 | 0.6487
13764.png            | 0.4738 | 2.11 | 19.24 | 0.7952
13767.png            | 0.4756 | 2.10 | 25.36 | 0.8054
13771.png            | 0.4715 | 2.12 | 22.45 | 0.7297
13775.png            | 0.4725 | 2.12 | 28.88 | 0.8659
13777.png            | 0.4763 | 2.10 | 24.37 | 0.8031
13789.png            | 0.4823 | 2.07 | 14.26 | 0.7218
1381.png             | 0.4919 | 2.03 | 19.34 | 0.8355
13812.png            | 0.4846 | 2.06 | 22.27 | 0.6665
13823.png            | 0.4829 | 2.07 | 21.69 | 0.6801
13835.png            | 0.4755 | 2.10 | 9.93 | 0.4755
1384.png             | 0.4863 | 2.06 | 17.11 | 0.8095
13859.png            | 0.4794 | 2.09 | 16.06 | 0.6485
13863.png            | 0.5009 | 2.00 | 22.75 | 0.8248
13865.png            | 0.4714 | 2.12 | 26.91 | 0.8578
13867.png            | 0.4722 | 2.12 | 27.89 | 0.8966
13876.png            | 0.4797 | 2.08 | 27.60 | 0.8685
13885.png            | 0.4833 | 2.07 | 16.95 | 0.6641
13887.png            | 0.4876 | 2.05 | 18.45 | 0.7021
13895.png            | 0.4742 | 2.11 | 24.63 | 0.8023
13904.png            | 0.4734 | 2.11 | 24.97 | 0.8454
13914.png            | 0.4734 | 2.11 | 23.47 | 0.6555
13946.png            | 0.4733 | 2.11 | 24.46 | 0.5180
13950.png            | 0.4718 | 2.12 | 22.71 | 0.6770
13965.png            | 0.4689 | 2.13 | 20.06 | 0.7927
13979.png            | 0.4675 | 2.14 | 25.65 | 0.7977
13982.png            | 0.4704 | 2.13 | 19.67 | 0.7240
13986.png            | 0.4807 | 2.08 | 28.18 | 0.8035
13995.png            | 0.4853 | 2.06 | 26.74 | 0.7724
14000.png            | 0.4773 | 2.10 | 25.99 | 0.7745
14001.png            | 0.4629 | 2.16 | 24.70 | 0.7421
1402.png             | 0.4597 | 2.18 | 17.17 | 0.6186
14026.png            | 0.4632 | 2.16 | 25.46 | 0.7791
14029.png            | 0.4547 | 2.20 | 28.02 | 0.5644
14044.png            | 0.4621 | 2.16 | 19.66 | 0.5405
14062.png            | 0.4522 | 2.21 | 30.33 | 0.9728
14064.png            | 0.4643 | 2.15 | 27.08 | 0.9691
14074.png            | 0.4551 | 2.20 | 27.99 | 0.9599
14090.png            | 0.4557 | 2.19 | 20.17 | 0.9517
14095.png            | 0.4577 | 2.19 | 24.32 | 0.8119
14107.png            | 0.4584 | 2.18 | 15.86 | 0.9625
14111.png            | 0.4599 | 2.17 | 18.35 | 0.7229
14114.png            | 0.4570 | 2.19 | 16.54 | 0.7077
1412.png             | 0.4512 | 2.22 | 15.29 | 0.6726
14123.png            | 0.4580 | 2.18 | 26.69 | 0.6612
14131.png            | 0.4595 | 2.18 | 15.12 | 0.8769
14152.png            | 0.4649 | 2.15 | 31.17 | 0.8673
14164.png            | 0.4559 | 2.19 | 19.23 | 0.7223
14174.png            | 0.4577 | 2.18 | 24.48 | 0.7634
14175.png            | 0.4562 | 2.19 | 14.20 | 0.6456
1419.png             | 0.4620 | 2.16 | 18.18 | 0.6405
14191.png            | 0.4603 | 2.17 | 23.84 | 0.7122
14192.png            | 0.4562 | 2.19 | 24.74 | 0.7499
14209.png            | 0.4633 | 2.16 | 19.51 | 0.8612
14216.png            | 0.4572 | 2.19 | 21.35 | 0.7325
14217.png            | 0.4680 | 2.14 | 19.81 | 0.7093
14226.png            | 0.4488 | 2.23 | 21.70 | 0.7553
14227.png            | 0.4629 | 2.16 | 20.24 | 0.6911
14228.png            | 0.4615 | 2.17 | 19.75 | 0.6569
14235.png            | 0.4676 | 2.14 | 20.97 | 0.8154
14240.png            | 0.4720 | 2.12 | 22.40 | 0.7515
14252.png            | 0.4642 | 2.15 | 19.72 | 0.9240
14259.png            | 0.4687 | 2.13 | 22.04 | 0.8565
14267.png            | 0.4578 | 2.18 | 22.84 | 0.9735
14269.png            | 0.4601 | 2.17 | 19.93 | 0.9149
14280.png            | 0.4534 | 2.21 | 17.39 | 0.7411
14288.png            | 0.4702 | 2.13 | 21.88 | 0.8093
14291.png            | 0.4617 | 2.17 | 22.87 | 0.7998
14299.png            | 0.4584 | 2.18 | 24.10 | 0.9754
14304.png            | 0.4598 | 2.17 | 17.74 | 0.9656
14313.png            | 0.4632 | 2.16 | 15.95 | 0.9586
14317.png            | 0.4632 | 2.16 | 22.63 | 0.7838
1433.png             | 0.4656 | 2.15 | 24.75 | 0.8444
14334.png            | 0.4593 | 2.18 | 17.12 | 0.9276
14335.png            | 0.4637 | 2.16 | 22.54 | 0.7772
14338.png            | 0.4746 | 2.11 | 21.67 | 0.7490
14365.png            | 0.4680 | 2.14 | 16.55 | 0.5398
14385.png            | 0.4590 | 2.18 | 19.04 | 0.8063
14400.png            | 0.4675 | 2.14 | 19.61 | 0.7849
14403.png            | 0.4807 | 2.08 | 22.35 | 0.6638
14417.png            | 0.4758 | 2.10 | 22.70 | 0.8842
14426.png            | 0.4705 | 2.13 | 18.08 | 0.6721
14431.png            | 0.4786 | 2.09 | 25.85 | 0.5018
14436.png            | 0.4817 | 2.08 | 25.18 | 0.8788
14440.png            | 0.4853 | 2.06 | 29.34 | 0.9106
14446.png            | 0.4766 | 2.10 | 18.28 | 0.6679
14455.png            | 0.4745 | 2.11 | 22.55 | 0.8251
14467.png            | 0.4715 | 2.12 | 19.18 | 0.5363
14468.png            | 0.4616 | 2.17 | 19.97 | 0.7666
14474.png            | 0.4804 | 2.08 | 18.18 | 0.6530
14478.png            | 0.4778 | 2.09 | 17.49 | 0.7095
14482.png            | 0.4793 | 2.09 | 16.23 | 0.7584
14499.png            | 0.4722 | 2.12 | 25.19 | 0.8528
14512.png            | 0.4664 | 2.14 | 24.37 | 0.9094
1452.png             | 0.4612 | 2.17 | 19.10 | 0.6951
14535.png            | 0.4873 | 2.05 | 14.84 | 0.6190
14547.png            | 0.4780 | 2.09 | 23.73 | 0.7411
14549.png            | 0.4965 | 2.01 | 27.02 | 0.6788
14553.png            | 0.4878 | 2.05 | 22.52 | 0.7317
14556.png            | 0.4730 | 2.11 | 27.04 | 0.7024
14569.png            | 0.4841 | 2.07 | 25.66 | 0.9728
14612.png            | 0.4815 | 2.08 | 22.28 | 0.8054
14636.png            | 0.4770 | 2.10 | 17.40 | 0.8485
14655.png            | 0.4771 | 2.10 | 20.82 | 0.7438
14672.png            | 0.4698 | 2.13 | 16.21 | 0.9444
14673.png            | 0.4738 | 2.11 | 24.54 | 0.7608
14674.png            | 0.4762 | 2.10 | 14.52 | 0.6830
14676.png            | 0.4829 | 2.07 | 16.01 | 0.7811
14683.png            | 0.4783 | 2.09 | 28.68 | 0.7642
14687.png            | 0.4701 | 2.13 | 20.64 | 0.6334
14696.png            | 0.4772 | 2.10 | 24.64 | 0.9420
14714.png            | 0.4798 | 2.08 | 22.21 | 0.8048
14719.png            | 0.4731 | 2.11 | 26.39 | 0.7277
1472.png             | 0.4654 | 2.15 | 15.43 | 0.6908
14723.png            | 0.4710 | 2.12 | 23.24 | 0.7470
14735.png            | 0.4682 | 2.14 | 17.28 | 0.8580
14739.png            | 0.4701 | 2.13 | 23.09 | 0.9060
14740.png            | 0.4796 | 2.09 | 22.56 | 0.8855
14755.png            | 0.4760 | 2.10 | 21.14 | 0.8700
14767.png            | 0.4656 | 2.15 | 12.84 | 0.5725
14771.png            | 0.4781 | 2.09 | 15.02 | 0.5268
14775.png            | 0.4726 | 2.12 | 24.75 | 0.7677
14781.png            | 0.4788 | 2.09 | 15.85 | 0.9402
14783.png            | 0.4744 | 2.11 | 19.62 | 0.8129
14792.png            | 0.4836 | 2.07 | 22.42 | 0.7538
148.png              | 0.4797 | 2.08 | 23.20 | 0.9041
14800.png            | 0.4710 | 2.12 | 20.64 | 0.8349
14820.png            | 0.4810 | 2.08 | 15.89 | 0.5590
14831.png            | 0.4876 | 2.05 | 15.02 | 0.7716
14838.png            | 0.4762 | 2.10 | 26.56 | 0.7577
14841.png            | 0.4722 | 2.12 | 23.62 | 0.8292
14843.png            | 0.4660 | 2.15 | 20.81 | 0.7237
14845.png            | 0.5030 | 1.99 | 22.38 | 0.8023
14848.png            | 0.4752 | 2.10 | 29.24 | 0.8792
14864.png            | 0.4781 | 2.09 | 35.96 | 0.5392
14881.png            | 0.4680 | 2.14 | 30.29 | 0.7918
14886.png            | 0.4827 | 2.07 | 23.06 | 0.7228
14892.png            | 0.4750 | 2.11 | 25.28 | 0.7864
14893.png            | 0.4888 | 2.05 | 18.41 | 0.9001
14898.png            | 0.4710 | 2.12 | 19.19 | 0.8921
149.png              | 0.4668 | 2.14 | 23.92 | 0.9130
14902.png            | 0.4684 | 2.14 | 24.94 | 0.8263
14935.png            | 0.4710 | 2.12 | 29.16 | 0.8823
14939.png            | 0.4691 | 2.13 | 20.95 | 0.6769
14950.png            | 0.4726 | 2.12 | 26.18 | 0.9459
14962.png            | 0.4762 | 2.10 | 21.68 | 0.9798
14968.png            | 0.4722 | 2.12 | 19.49 | 0.7630
14978.png            | 0.4773 | 2.09 | 14.51 | 0.5198
14979.png            | 0.4747 | 2.11 | 19.50 | 0.7747
14982.png            | 0.4757 | 2.10 | 21.24 | 0.7778
14983.png            | 0.4797 | 2.08 | 14.64 | 0.7115
15001.png            | 0.4745 | 2.11 | 26.79 | 0.7302
15003.png            | 0.4763 | 2.10 | 14.44 | 0.7900
15069.png            | 0.4694 | 2.13 | 22.90 | 0.9792
1507.png             | 0.4715 | 2.12 | 18.57 | 0.6989
15070.png            | 0.4663 | 2.14 | 20.76 | 0.9739
15080.png            | 0.4843 | 2.06 | 22.82 | 0.7788
15083.png            | 0.4744 | 2.11 | 22.59 | 0.7955
15086.png            | 0.4741 | 2.11 | 27.04 | 0.3954
1509.png             | 0.4757 | 2.10 | 21.12 | 0.6486
15092.png            | 0.4785 | 2.09 | 21.73 | 0.7372
15094.png            | 0.4724 | 2.12 | 18.32 | 0.7658
151.png              | 0.4838 | 2.07 | 22.61 | 0.7928
15104.png            | 0.4720 | 2.12 | 25.99 | 0.7246
15105.png            | 0.4841 | 2.07 | 23.83 | 0.7381
15128.png            | 0.4762 | 2.10 | 20.70 | 0.8671
1513.png             | 0.4739 | 2.11 | 26.65 | 0.8105
15131.png            | 0.4787 | 2.09 | 17.31 | 0.6591
15139.png            | 0.4808 | 2.08 | 15.96 | 0.4952
15147.png            | 0.4808 | 2.08 | 18.01 | 0.7981
15156.png            | 0.4795 | 2.09 | 24.10 | 0.8905
15159.png            | 0.4792 | 2.09 | 28.48 | 0.9605
15182.png            | 0.4773 | 2.10 | 19.95 | 0.8251
1520.png             | 0.4829 | 2.07 | 14.61 | 0.6282
15208.png            | 0.4823 | 2.07 | 18.15 | 0.8460
15212.png            | 0.4752 | 2.10 | 19.37 | 0.5398
15235.png            | 0.4758 | 2.10 | 20.54 | 0.9731
15237.png            | 0.4889 | 2.05 | 18.69 | 0.7816
15241.png            | 0.4803 | 2.08 | 19.23 | 0.6889
15257.png            | 0.4688 | 2.13 | 22.57 | 0.6635
15273.png            | 0.4788 | 2.09 | 23.96 | 0.7847
15276.png            | 0.4786 | 2.09 | 17.92 | 0.7465
15287.png            | 0.4703 | 2.13 | 15.27 | 0.6042
15288.png            | 0.4780 | 2.09 | 16.97 | 0.6649
15303.png            | 0.4783 | 2.09 | 16.12 | 0.4866
15304.png            | 0.4750 | 2.11 | 19.63 | 0.5216
15310.png            | 0.4769 | 2.10 | 15.76 | 0.7271
15311.png            | 0.4823 | 2.07 | 17.08 | 0.6453
15324.png            | 0.4764 | 2.10 | 20.10 | 0.6170
15331.png            | 0.4804 | 2.08 | 22.84 | 0.5890
15333.png            | 0.4796 | 2.09 | 23.26 | 0.9286
15345.png            | 0.4791 | 2.09 | 24.32 | 0.8850
1535.png             | 0.4751 | 2.10 | 16.56 | 0.9703
15351.png            | 0.4831 | 2.07 | 23.24 | 0.9134
15363.png            | 0.4794 | 2.09 | 18.29 | 0.6183
15375.png            | 0.4774 | 2.09 | 24.37 | 0.7300
15421.png            | 0.4772 | 2.10 | 21.31 | 0.8776
15441.png            | 0.5018 | 1.99 | 15.57 | 0.6624
15447.png            | 0.4755 | 2.10 | 23.27 | 0.9822
15448.png            | 0.4673 | 2.14 | 26.41 | 0.9665
15462.png            | 0.5104 | 1.96 | 20.68 | 0.7957
15470.png            | 0.5019 | 1.99 | 20.29 | 0.6239
15481.png            | 0.5059 | 1.98 | 17.95 | 0.6356
15486.png            | 0.4827 | 2.07 | 17.66 | 0.6257
155.png              | 0.4835 | 2.07 | 23.04 | 0.8121
15502.png            | 0.4677 | 2.14 | 22.57 | 0.9809
15508.png            | 0.4804 | 2.08 | 23.34 | 0.9649
15517.png            | 0.5088 | 1.97 | 18.36 | 0.7213
15526.png            | 0.4762 | 2.10 | 20.96 | 0.7366
15534.png            | 0.4914 | 2.04 | 16.43 | 0.9378
15545.png            | 0.4995 | 2.00 | 21.87 | 0.3922
15546.png            | 0.5007 | 2.00 | 24.77 | 0.7508
15565.png            | 0.4851 | 2.06 | 23.34 | 0.9296
15569.png            | 0.4763 | 2.10 | 19.66 | 0.7217
15587.png            | 0.4879 | 2.05 | 19.34 | 0.7606
15590.png            | 0.4797 | 2.08 | 29.06 | 0.8124
15612.png            | 0.4794 | 2.09 | 23.52 | 0.9087
1562.png             | 0.4783 | 2.09 | 20.66 | 0.7856
15630.png            | 0.4808 | 2.08 | 16.19 | 0.7660
15643.png            | 0.4970 | 2.01 | 31.68 | 0.8173
15654.png            | 0.4737 | 2.11 | 25.95 | 0.6810
15671.png            | 0.4731 | 2.11 | 21.01 | 0.6327
15678.png            | 0.4843 | 2.06 | 17.95 | 0.6847
15690.png            | 0.4771 | 2.10 | 16.23 | 0.9449
15707.png            | 0.5033 | 1.99 | 19.40 | 0.9165
15725.png            | 0.4799 | 2.08 | 21.43 | 0.7772
15763.png            | 0.4733 | 2.11 | 21.09 | 0.7018
15794.png            | 0.4814 | 2.08 | 22.41 | 0.9282
1582.png             | 0.4723 | 2.12 | 22.85 | 0.6979
15822.png            | 0.4705 | 2.13 | 21.25 | 0.9762
15849.png            | 0.4744 | 2.11 | 19.43 | 0.8426
15851.png            | 0.4712 | 2.12 | 23.74 | 0.7527
15860.png            | 0.4874 | 2.05 | 23.77 | 0.8148
15881.png            | 0.4887 | 2.05 | 26.57 | 0.8181
15889.png            | 0.4753 | 2.10 | 18.94 | 0.7004
15897.png            | 0.4966 | 2.01 | 17.76 | 0.7404
15901.png            | 0.4714 | 2.12 | 19.88 | 0.7633
15913.png            | 0.4793 | 2.09 | 18.34 | 0.8227
15915.png            | 0.4850 | 2.06 | 21.38 | 0.8693
15939.png            | 0.5103 | 1.96 | 19.74 | 0.6718
15946.png            | 0.5104 | 1.96 | 17.12 | 0.7292
15950.png            | 0.4836 | 2.07 | 22.34 | 0.8203
15957.png            | 0.5079 | 1.97 | 16.01 | 0.7162
1596.png             | 0.5045 | 1.98 | 24.80 | 0.8629
15974.png            | 0.4788 | 2.09 | 16.03 | 0.7528
15975.png            | 0.5097 | 1.96 | 16.55 | 0.7872
15981.png            | 0.4940 | 2.02 | 20.91 | 0.8146
15997.png            | 0.4793 | 2.09 | 17.81 | 0.6015
16006.png            | 0.4882 | 2.05 | 21.52 | 0.6786
16018.png            | 0.4843 | 2.06 | 18.67 | 0.6662
16020.png            | 0.4986 | 2.01 | 20.51 | 0.6130
16025.png            | 0.5022 | 1.99 | 23.35 | 0.7232
16028.png            | 0.4779 | 2.09 | 17.18 | 0.8824
1603.png             | 0.4994 | 2.00 | 22.00 | 0.6836
16051.png            | 0.4901 | 2.04 | 19.65 | 0.9635
16062.png            | 0.4991 | 2.00 | 23.98 | 0.9390
16071.png            | 0.4765 | 2.10 | 23.06 | 0.9746
16089.png            | 0.5006 | 2.00 | 23.65 | 0.6527
16099.png            | 0.5105 | 1.96 | 21.73 | 0.7726
16103.png            | 0.4788 | 2.09 | 23.86 | 0.7546
16104.png            | 0.4884 | 2.05 | 22.87 | 0.7385
16118.png            | 0.4724 | 2.12 | 20.54 | 0.8271
16121.png            | 0.4952 | 2.02 | 22.86 | 0.7754
16146.png            | 0.5008 | 2.00 | 24.62 | 0.8425
16166.png            | 0.4886 | 2.05 | 18.76 | 0.8155
16167.png            | 0.4848 | 2.06 | 21.34 | 0.6770
16173.png            | 0.4783 | 2.09 | 19.42 | 0.6575
16209.png            | 0.5336 | 1.87 | 12.55 | 0.3767
1621.png             | 0.4758 | 2.10 | 21.22 | 0.9429
16213.png            | 0.5170 | 1.93 | 21.50 | 0.8386
16217.png            | 0.4866 | 2.05 | 22.77 | 0.8493
16221.png            | 0.4984 | 2.01 | 20.25 | 0.7588
16236.png            | 0.5041 | 1.98 | 19.36 | 0.7536
16241.png            | 0.4780 | 2.09 | 23.05 | 0.8907
16244.png            | 0.5055 | 1.98 | 24.23 | 0.8680
16245.png            | 0.4835 | 2.07 | 20.79 | 0.6708
1625.png             | 0.4807 | 2.08 | 18.43 | 0.8924
16287.png            | 0.5050 | 1.98 | 24.51 | 0.7856
16305.png            | 0.4962 | 2.02 | 18.53 | 0.7102
16311.png            | 0.4739 | 2.11 | 17.86 | 0.6728
16313.png            | 0.5084 | 1.97 | 15.36 | 0.6264
16326.png            | 0.4890 | 2.04 | 14.08 | 0.7766
16327.png            | 0.4744 | 2.11 | 23.05 | 0.9900
16329.png            | 0.5098 | 1.96 | 21.40 | 0.8134
16339.png            | 0.4880 | 2.05 | 17.70 | 0.8670
1635.png             | 0.4942 | 2.02 | 16.51 | 0.9683
16351.png            | 0.4858 | 2.06 | 20.75 | 0.6618
16362.png            | 0.4844 | 2.06 | 27.39 | 0.8646
1638.png             | 0.4828 | 2.07 | 15.85 | 0.5761
16381.png            | 0.4802 | 2.08 | 19.19 | 0.5768
16385.png            | 0.5048 | 1.98 | 24.36 | 0.8383
16390.png            | 0.5077 | 1.97 | 17.38 | 0.7145
16395.png            | 0.4774 | 2.09 | 22.97 | 0.7374
16410.png            | 0.4724 | 2.12 | 20.70 | 0.8437
16416.png            | 0.4729 | 2.11 | 22.11 | 0.8011
16422.png            | 0.4813 | 2.08 | 20.61 | 0.6664
16436.png            | 0.5012 | 2.00 | 21.94 | 0.7282
16439.png            | 0.4728 | 2.11 | 18.95 | 0.5285
16456.png            | 0.4691 | 2.13 | 26.38 | 0.7054
16458.png            | 0.4690 | 2.13 | 28.20 | 0.6686
16479.png            | 0.4696 | 2.13 | 18.00 | 0.8083
16485.png            | 0.4755 | 2.10 | 17.29 | 0.7951
16496.png            | 0.4753 | 2.10 | 22.86 | 0.9433
16509.png            | 0.4712 | 2.12 | 23.36 | 0.6518
16538.png            | 0.4808 | 2.08 | 19.17 | 0.7189
16546.png            | 0.4845 | 2.06 | 17.88 | 0.6374
16581.png            | 0.4773 | 2.10 | 21.13 | 0.8774
16595.png            | 0.4792 | 2.09 | 20.37 | 0.7370
16600.png            | 0.5065 | 1.97 | 27.23 | 0.7274
16605.png            | 0.4805 | 2.08 | 25.43 | 0.9727
16627.png            | 0.4763 | 2.10 | 25.66 | 0.8249
16647.png            | 0.4832 | 2.07 | 23.09 | 0.7867
16668.png            | 0.4855 | 2.06 | 24.34 | 0.8478
16669.png            | 0.4848 | 2.06 | 22.34 | 0.8573
16675.png            | 0.4801 | 2.08 | 24.68 | 0.7994
16690.png            | 0.4839 | 2.07 | 25.18 | 0.8667
16694.png            | 0.4700 | 2.13 | 22.48 | 0.7922
16707.png            | 0.4863 | 2.06 | 20.18 | 0.7434
16716.png            | 0.4742 | 2.11 | 18.45 | 0.9428
16720.png            | 0.4828 | 2.07 | 22.29 | 0.8781
16722.png            | 0.4743 | 2.11 | 22.67 | 0.6918
16732.png            | 0.4797 | 2.08 | 16.11 | 0.9302
16769.png            | 0.5029 | 1.99 | 24.94 | 0.5022
16771.png            | 0.4724 | 2.12 | 11.02 | 0.3739
1681.png             | 0.4766 | 2.10 | 16.43 | 0.7221
16828.png            | 0.4862 | 2.06 | 21.72 | 0.8682
16830.png            | 0.4927 | 2.03 | 18.22 | 0.6540
16839.png            | 0.4910 | 2.04 | 18.22 | 0.6803
16862.png            | 0.4964 | 2.01 | 26.31 | 0.8518
16872.png            | 0.5092 | 1.96 | 25.40 | 0.8861
16897.png            | 0.4923 | 2.03 | 23.42 | 0.7597
16905.png            | 0.4957 | 2.02 | 27.69 | 0.8985
16906.png            | 0.4810 | 2.08 | 21.20 | 0.8725
16922.png            | 0.5092 | 1.96 | 23.00 | 0.8861
16930.png            | 0.5088 | 1.97 | 19.63 | 0.9015
16951.png            | 0.4944 | 2.02 | 25.21 | 0.6468
16954.png            | 0.4619 | 2.17 | 22.19 | 0.8415
16970.png            | 0.4710 | 2.12 | 21.59 | 0.7747
16976.png            | 0.4708 | 2.12 | 26.16 | 0.7202
16981.png            | 0.4707 | 2.12 | 21.99 | 0.7266
16994.png            | 0.4786 | 2.09 | 21.74 | 0.7013
17000.png            | 0.4800 | 2.08 | 20.72 | 0.6505
17012.png            | 0.4762 | 2.10 | 15.94 | 0.6922
17025.png            | 0.4802 | 2.08 | 17.96 | 0.7719
17033.png            | 0.4788 | 2.09 | 20.92 | 0.5974
17035.png            | 0.4768 | 2.10 | 26.40 | 0.8118
17039.png            | 0.4798 | 2.08 | 20.39 | 0.5373
17040.png            | 0.4781 | 2.09 | 29.27 | 0.5075
17056.png            | 0.4657 | 2.15 | 23.76 | 0.9577
17063.png            | 0.4875 | 2.05 | 22.52 | 0.8109
17073.png            | 0.4764 | 2.10 | 19.78 | 0.7325
17079.png            | 0.5066 | 1.97 | 20.93 | 0.6223
1708.png             | 0.4942 | 2.02 | 15.82 | 0.7830
17090.png            | 0.5131 | 1.95 | 21.00 | 0.8147
17102.png            | 0.4789 | 2.09 | 19.64 | 0.5112
17110.png            | 0.5153 | 1.94 | 21.24 | 0.7531
1712.png             | 0.5054 | 1.98 | 22.37 | 0.7809
1713.png             | 0.4777 | 2.09 | 18.74 | 0.7822
17135.png            | 0.5090 | 1.96 | 20.18 | 0.6764
17138.png            | 0.4792 | 2.09 | 18.24 | 0.7105
17144.png            | 0.4800 | 2.08 | 20.88 | 0.8252
17196.png            | 0.4704 | 2.13 | 13.63 | 0.5093
17207.png            | 0.4708 | 2.12 | 17.97 | 0.9686
17214.png            | 0.4759 | 2.10 | 17.18 | 0.9459
17216.png            | 0.4713 | 2.12 | 22.29 | 0.7799
17222.png            | 0.4773 | 2.10 | 21.82 | 0.6427
17224.png            | 0.4786 | 2.09 | 18.12 | 0.7082
17227.png            | 0.4805 | 2.08 | 22.41 | 0.7768
1724.png             | 0.4811 | 2.08 | 21.56 | 0.7651
17240.png            | 0.4835 | 2.07 | 26.37 | 0.7460
17270.png            | 0.4818 | 2.08 | 23.22 | 0.6591
17279.png            | 0.4771 | 2.10 | 21.07 | 0.9669
17280.png            | 0.4693 | 2.13 | 21.49 | 0.9659
17282.png            | 0.4705 | 2.13 | 18.57 | 0.9563
17283.png            | 0.4710 | 2.12 | 19.43 | 0.9634
17296.png            | 0.4789 | 2.09 | 19.88 | 0.9609
173.png              | 0.4866 | 2.05 | 22.78 | 0.6502
17326.png            | 0.4734 | 2.11 | 19.47 | 0.7741
17336.png            | 0.4829 | 2.07 | 17.21 | 0.7598
17348.png            | 0.4794 | 2.09 | 21.71 | 0.7050
17355.png            | 0.4710 | 2.12 | 19.63 | 0.6715
17365.png            | 0.4822 | 2.07 | 18.20 | 0.7311
17366.png            | 0.4796 | 2.09 | 18.35 | 0.5344
17374.png            | 0.4772 | 2.10 | 17.01 | 0.9516
17377.png            | 0.4751 | 2.10 | 15.30 | 0.3958
17383.png            | 0.4741 | 2.11 | 13.63 | 0.6075
17392.png            | 0.4922 | 2.03 | 14.66 | 0.6866
17404.png            | 0.4823 | 2.07 | 25.53 | 0.7881
17410.png            | 0.4866 | 2.06 | 15.63 | 0.9071
17411.png            | 0.4896 | 2.04 | 17.50 | 0.7500
17416.png            | 0.4839 | 2.07 | 20.01 | 0.8644
17425.png            | 0.4765 | 2.10 | 15.97 | 0.8911
17435.png            | 0.4840 | 2.07 | 19.07 | 0.6850
17437.png            | 0.4800 | 2.08 | 18.73 | 0.7314
17440.png            | 0.4747 | 2.11 | 11.58 | 0.5415
17482.png            | 0.5166 | 1.94 | 30.57 | 0.9000
17489.png            | 0.4797 | 2.08 | 18.67 | 0.8628
17506.png            | 0.4832 | 2.07 | 22.20 | 0.7166
17514.png            | 0.5084 | 1.97 | 24.50 | 0.8219
17517.png            | 0.4842 | 2.07 | 23.31 | 0.5415
17523.png            | 0.4851 | 2.06 | 19.06 | 0.6688
17524.png            | 0.5158 | 1.94 | 20.93 | 0.7773
17526.png            | 0.4822 | 2.07 | 22.96 | 0.8646
17534.png            | 0.4823 | 2.07 | 23.92 | 0.8679
17538.png            | 0.5089 | 1.97 | 23.23 | 0.6135
17556.png            | 0.5071 | 1.97 | 19.05 | 0.6232
17576.png            | 0.4838 | 2.07 | 14.64 | 0.6281
17601.png            | 0.4778 | 2.09 | 24.76 | 0.7300
17607.png            | 0.4797 | 2.08 | 15.52 | 0.9161
17609.png            | 0.4754 | 2.10 | 19.02 | 0.9406
17619.png            | 0.4763 | 2.10 | 19.75 | 0.9014
1762.png             | 0.4723 | 2.12 | 25.01 | 0.5822
17624.png            | 0.4815 | 2.08 | 16.17 | 0.8829
1763.png             | 0.4945 | 2.02 | 25.26 | 0.5762
17630.png            | 0.4711 | 2.12 | 18.24 | 0.7108
17662.png            | 0.4832 | 2.07 | 22.98 | 0.6791
17668.png            | 0.4835 | 2.07 | 21.50 | 0.9613
17688.png            | 0.4873 | 2.05 | 22.40 | 0.7541
17689.png            | 0.5011 | 2.00 | 21.43 | 0.6906
17695.png            | 0.5096 | 1.96 | 23.60 | 0.9008
17707.png            | 0.4843 | 2.06 | 21.79 | 0.6611
17713.png            | 0.4712 | 2.12 | 22.31 | 0.5105
17719.png            | 0.4868 | 2.05 | 26.80 | 0.8512
17720.png            | 0.4787 | 2.09 | 29.57 | 0.8496
17734.png            | 0.4846 | 2.06 | 28.74 | 0.8404
17742.png            | 0.5091 | 1.96 | 24.76 | 0.8210
17756.png            | 0.4807 | 2.08 | 19.02 | 0.8635
17759.png            | 0.4695 | 2.13 | 24.48 | 0.9811
17777.png            | 0.5054 | 1.98 | 19.76 | 0.5786
17780.png            | 0.4712 | 2.12 | 18.55 | 0.7590
17794.png            | 0.4773 | 2.10 | 17.13 | 0.7945
17799.png            | 0.4836 | 2.07 | 13.45 | 0.5726
